MSR_ID;MSR_NME;MSR_NMF
497.00000;1 envelope (8 per 112g);1 enveloppe (8 par 112g)
498.00000;1 flower;1 fleur
499.00000;1 floweret;1 fleurette (bouquet)
500.00000;1 fruit (5.7cm x 6.4cm dia);1 fruit (5.7cm x 6.4cm dia)
501.00000;1 fruit (7.6cm x  2.5cm dia);1 fruit (7.6cm x 2.5cm dia)
503.00000;1 green onion (15cm x 0.75cm dia);1 oignon vert (15cm x 0.75cm dia)
504.00000;1 jumbo;1 jumbo
505.00000;1 leaf (25cm x 16cm);1 feuille (25cm x 16cm)
506.00000;1 link (10cm x 2.2cm dia);1 saucisse (10cm x 2.2cm dia)
507.00000;1 link (5cm x 2cm dia);1 saucisse (5cm x 2cm dia)
508.00000;1 medium (11.4cm x 10.2cm x 4.4cm);1 moyen (11.4cm x 10.2cm x 4.4cm)
509.00000;1 medium fruit;1 fruit moyen
510.00000;1 medium leaf;1 feuille moyenne
511.00000;1 muffin (3.8cm x 6.3cm dia);1 muffin (3.8cm x 6.3cm dia)
512.00000;1 muffin (3.8cm x 6.4cm dia);1 muffin (3.8cm x 6.4cm dia)
513.00000;1 nutmeat (shelled nut);1 noix écalée (cerneau)
514.00000;1 onion (2.5cm dia);1 oignon (2.5cm dia)
515.00000;1 oyster;1 huître
516.00000;1 oyster/soup cracker;1 mini craquelin
517.00000;1 pad;1 feuille
518.00000;1 pancake (10.2cm dia);1 crêpe (10.2cm dia)
519.00000;1 pancake (7cm dia);1 crêpe (7cm dia)
520.00000;1 pastry (10.8cm dia);1 pâtisserie (10.8cm dia)
521.00000;1 petiole;1 pétiole
522.00000;1 piece (10cm x 2.5cm x 1.3cm);1 morceau (10cm x 2.5cm x 1.3cm)
523.00000;1 piece (2.54cm x 2.54cm);1 morceau (2.54cm x 2.54cm)
524.00000;1 piece (5cm x 2cm x 1cm);1 morceau (5cm x 2cm x 1cm)
525.00000;1 piece (5.7cm x 2cm x 4.5cm);1 morceau (5.7cm x 2cm x 4.5cm)
526.00000;1 piece (6.3cm x 6.3cm x 3.8cm);1 morceau (6.3cm x 6.3cm x 3.8cm)
527.00000;1 pita (10.2cm dia);1 pita (10.2cm dia)
528.00000;1 plant;1 plante
529.00000;1 pod;1 cosse
530.00000;1 pod (34cm x 0.6cm dia);1 cosse (34cm x 0.6cm dia)
531.00000;1 pod (39cm x 1.3cm dia);1 cosse (30cm x 1.3cm dia)
532.00000;1 pod (8cm x 2cm dia);1 cosse (8cm x 2cm dia)
533.00000;1 potato puff;1 morceau de p. de terre
535.00000;1 regular;1 régulier
536.00000;1 regular (20-25);1 régulier (20-25)
537.00000;1 sausage;1 saucisse
538.00000;1 section;1 section
539.00000;1 shell;1 coquille
540.00000;1 shortcake;1 gâteau éponge
541.00000;1 slice (0.2cm x 7cm dia);1 tranche (0.2cm x 7cm dia)
542.00000;1 slice (0.3cm x 12cm);1 tranche (0.3cm x 12cm)
543.00000;1 slice (0.3cm x 2.5cm dia);1 tranche  (0.3cm 2.5cm dia)
544.00000;1 slice (11.1cm x 6.3cm x 1.3cm);1 tranche (11.1cm x 6.3cm x 1.3cm)
545.00000;1 slice (11.4cm x 8.3cm x 1.9cm);1 tranche (11.4cm x 8.3cm x 1.9cm)
548.00000;1 slice (12.7cm x 7.6cm x 1.3cm);1 tranche (12.7cm x 7.6cm x 1.3cm)
549.00000;1 slice (8.3cm x 7cm x 1.6cm);1 tranche (8.3cm x 7cm x 1.6cm)
553.00000;1 small;1 petit
554.00000;1 small burger;1 petit hambourgeois
555.00000;1 small clam;1 petite mye
556.00000;1 small egg;1 petit oeuf
558.00000;1 small patty;1 petite boulette
559.00000;1 snack size;1 mini-tablette
560.00000;1 sprig;1 branche
561.00000;1 sprout;1 chou
562.00000;1 square 8.9cm x 8.9cm);1 carré (8.9cm x 8.9cm)
563.00000;1 stalk;1 tige
564.00000;1 spear (12.7cm long);1 tige et fleur (12.7cm long)
565.00000;1 stick (23.5cm x 0.9cm dia);1 bâtonnet (23.5cm x 0.9cm dia)
568.00000;1 thick slice;1 tranche épaisse
569.00000;1 thin square;1 carré mince
571.00000;1 very small;1 très petit
572.00000;1 waffle (10.2cm x 10.2cm);1 gauffre (10.2cm x 10.2cm)
573.00000;1 waffle (11.4cm x 11.4cm);1 gauffre (11.4cm x 11.4cm)
574.00000;1/10 cake (5cm x 20cm dia);1/10 gâteau (5cm x 20cm dia)
575.00000;1/12 cake (2 layer, 20cm dia);1/12 gâteau (2 etages, 20cm dia)
576.00000;1/12 cake (2 layer, 23cm dia);1/12 gâteau (2 etages, 23cm dia)
577.00000;1/12 cake (20cm dia);1/12 gâteau (20cm dia)
578.00000;1/12 cake (20cm x 20cm);1/12 gâteau (20cm x 20cm)
580.00000;1/12 cake (25.4cm dia tube);1/12 gâteau (25.4cm dia, tube)
581.00000;1/12 cake (340g);1/12 gâteau (340g)
583.00000;1/2 fillet;1/2 filet
584.00000;1/2 fruit + 25ml liquid;1/2 fruit + 25ml liquide
587.00000;1/4 lemon wedge;1/4 citron
588.00000;1/4 pie (15.2cm dia);1/4 tarte (15.2cm dia)
589.00000;1/6 pie;1/6 gâteau
590.00000;1/6 strudel;1/6 strudel
591.00000;1/8 cake (20cm x 15cm);1/8 gâteau (20cm x 15cm)
592.00000;1/8 cake (23cm dia);1/8 gâteau (23cm dia)
593.00000;1/8 crust (23cm dia);1/8 croûte (23cm dia)
594.00000;1/8 pie (17.8cm dia);1/8 tarte (17.8cm dia)
595.00000;1/8 pie (20cm dia);1/8 tarte (20cm dia)
596.00000;1/8 pizza (12'' );1/8 pizza (12'')
597.00000;1/9 cake (20cm x 20cm);1/9 gâteau (20cm x 20cm)
598.00000;10 gumdrops;10 bonbons
599.00000;10 large beans;10 gros bonbons
600.00000;10 nibs;10 nibs
601.00000;10 peas;10 pois
602.00000;10 peppers;10 piments
604.00000;10 radishes;10 radis
605.00000;10 sprigs;10 branches
606.00000;10 sprouts;10 graines germées
607.00000;10 sticks;10 bâtonnets
608.00000;100 almonds;100 amandes
609.00000;100 kernels;100 graines / noix
610.00000;100 seeds;100 graines
612.00000;100ml ground;100ml broyées
613.00000;100ml hearts;100ml coeurs
614.00000;100ml hulled;100ml écalées
616.00000;100ml not pitted;100ml avec noyau
617.00000;100ml sections;100ml sections
618.00000;100ml shredded, not packed;100ml filamenté, non pressé
619.00000;100ml small curd;100ml petit caillé
620.00000;100ml spirals;100ml spirales
621.00000;15 halves;15 moitiés
623.00000;2 fruits + 30ml liquid;2 fruits + 30ml liquide
624.00000;2 medium;2 moyennes
625.00000;2 small rice cakes;2 petites galettes de riz
626.00000;25 almonds;25 amandes
628.00000;3 fruits;3 fruits
629.00000;3 halves + 26ml liquid;3 moitiés + 26ml liquide
630.00000;3 stalks;3 tiges
631.00000;4 waterchestnuts (3.2-5.1cm dia);4 châtaignes (3.2-5.1cm dia)
633.00000;5 medium;5 moyennes
634.00000;5 skins;5 croustilles
635.00000;5 sprigs;5 branches
636.00000;50 kernels;50 graines/noix
637.00000;50 seeds;50 graines
638.00000;50ml;50ml
639.00000;6 small cups;6 petits
